metabolite_BiGG_ID,carbon_source,consumption,production,preferred_c_source,max_average_uptake,Reaction_ID,Reaction_name,(Reaction_subsystem),Reaction_equation,Reaction_lb,Reaction_ub,Reaction_gene_ (ID_ and/or),Metabolites,stoichiometry,metabolite_name,Metabolite_ID,Metabolite_compartment,kegg_id,ec_number,universal_reaction_DB,iterations,criteria,weight,normed_weight,aerobic,balanced_equation,coefficient_c_source,coefficient_product,c_source_concentration_range,summed_weights,number_of_criteria,sum_normed_weights,path_to_fna_file_expression_host,Optknock,reference_model_ID,expression_host
glc__D,yes,-10,no,glc__D,-10,,,,,,,,,,,,,,,bacteria,4,consumption_glc__D,10,0.163934426,yes,Glucose + 3 NAD+ <=> Itaconate + CO2 + 3 NADH,-1,1,0.01 10,61,6,1,GCA_000005845.2_ASM584v2_cds_from_genomic.fna.gz,no,iML1515.xml,E. coli MG1655
itacon,no,no,yes,,,EX_itacon_e,Exchange_ITACON,,itacon_e -->,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,ITAtr,itaconate_transporter,,itacon_e --> itacon_c,-1000,1000,,itacon_e itacon_c,-1 1,,itacon_e itacon_c,e c,,,,,production_itacon,30,0.491803279,,,,,,,,,,,,
,,,,,,ACDCX,aconitate_decarboxylase,,acon_C_c + h_c --> co2_c + itacon_c,0,1000,cadA,,,,,,,4.1.1.6,,,interventions,10,0.163934426,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,mdf,5,0.081967213,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,path_length,6,0.098360656,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
